422_122949_000000_000000	--Is this our mode?--From German heart came this vexed ululating?	--Is this our mode?--From German heart came this vexed ululating?	false	0	4.41	23.433294
422_122949_000037_000001	A philosopher: that is a man who constantly experiences, sees, hears, suspects, hopes, and dreams extraordinary things; who is struck by his own thoughts as if they came from the outside, from above and below, as a species of events and lightning-flashes PECULIAR TO HIM; who is perhaps himself a storm pregnant with new lightnings; a portentous man, around whom there is always rumbling and mumbling and gaping and something uncanny going on.	A philosopher: that is a man who constantly experiences, sees, hears, suspects, hopes, and dreams extraordinary things; who is struck by his own thoughts as if they came from the outside, from above and below, as a species of events and lightning flashes PECULIAR TO HIM; who is perhaps himself a storm pregnant with new lightnings; a portentous man, around whom there is always rumbling and mumbling and gaping and something uncanny going on.	false	3496.61	3524.07	17
422_122949_000037_000002	A philosopher: alas, a being who often runs away from himself, is often afraid of himself--but whose curiosity always makes him "come to himself" again.	A philosopher: alas, a being who often runs away from himself, is often afraid of himself-but whose curiosity always makes him "come to himself" again.	false	3524.07	3531.96	15
422_122949_000038_000000	293.	two hundred ninety three.	false	3531.96	3533.16	32.075546
422_122949_000038_000001	A man who says: "I like that, I take it for my own, and mean to guard and protect it from every one"; a man who can conduct a case, carry out a resolution, remain true to an opinion, keep hold of a woman, punish and overthrow insolence; a man who has his indignation and his sword, and to whom the weak, the suffering, the oppressed, and even the animals willingly submit and naturally belong; in short, a man who is a MASTER by nature--when such a man has sympathy, well!	A man who says: "I like that, I take it for my own, and mean to guard and protect it from every one"; a man who can conduct a case, carry out a resolution, remain true to an opinion, keep hold of a woman, punish and overthrow insolence; a man who has his indignation and his sword, and to whom the weak, the suffering, the oppressed, and even the animals willingly submit and naturally belong; in short, a man who is a MASTER by nature-when such a man has sympathy, well!	false	3533.16	3567.09	18
422_122949_000038_000002	THAT sympathy has value!	THAT sympathy has value!	false	3567.09	3568.47	15
422_122949_000038_000003	But of what account is the sympathy of those who suffer!	But of what account is the sympathy of those who suffer!	false	3568.47	3572.28	18.623693
422_122949_000038_000004	Or of those even who preach sympathy!	Or of those even who preach sympathy!	false	3572.28	3575.01	15
422_122949_000038_000005	There is nowadays, throughout almost the whole of Europe, a sickly irritability and sensitiveness towards pain, and also a repulsive irrestrainableness in complaining, an effeminizing, which, with the aid of religion and philosophical nonsense, seeks to deck itself out as something superior--there is a regular cult of suffering.	There is nowadays, throughout almost the whole of Europe, a sickly irritability and sensitiveness towards pain, and also a repulsive irrestrainableness in complaining, an effeminizing, which, with the aid of religion and philosophical nonsense, seeks to deck itself out as something superior-there is a regular cult of suffering.	false	3575.01	3595.38	18
422_122949_000038_000006	The UNMANLINESS of that which is called "sympathy" by such groups of visionaries, is always, I believe, the first thing that strikes the eye.--One must resolutely and radically taboo this latest form of bad taste; and finally I wish people to put the good amulet, "GAI SABER" ("gay science," in ordinary language), on heart and neck, as a protection against it.	The UNMANLINESS of that which is called "sympathy" by such groups of visionaries, is always, I believe, the first thing that strikes the eye.--One must resolutely and radically taboo this latest form of bad taste; and finally I wish people to put the good amulet, "GAI SABER" ("gay science," in ordinary language), on heart and neck, as a protection against it.	false	3595.38	3627.3	17
422_122949_000039_000000	294.	two hundred ninety four.	false	3627.3	3628.5	2
422_122949_000039_000001	THE OLYMPIAN VICE.--Despite the philosopher who, as a genuine Englishman, tried to bring laughter into bad repute in all thinking minds--"Laughing is a bad infirmity of human nature, which every thinking mind will strive to overcome" (Hobbes),--I would even allow myself to rank philosophers according to the quality of their laughing--up to those who are capable of GOLDEN laughter.	THE OLYMPIAN VICE.--Despite the philosopher who, as a genuine Englishman, tried to bring laughter into bad repute in all thinking minds-"Laughing is a bad infirmity of human nature, which every thinking mind will strive to overcome" (Hobbes),--I would even allow myself to rank philosophers according to the quality of their laughing-up to those who are capable of GOLDEN laughter.	false	3628.5	3654.63	17.77219
422_122949_000039_000002	And supposing that Gods also philosophize, which I am strongly inclined to believe, owing to many reasons--I have no doubt that they also know how to laugh thereby in an overman-like and new fashion--and at the expense of all serious things!	And supposing that Gods also philosophize, which I am strongly inclined to believe, owing to many reasons-I have no doubt that they also know how to laugh thereby in an overman like and new fashion-and at the expense of all serious things!	false	3654.63	3676.23	18
422_122949_000039_000003	Gods are fond of ridicule: it seems that they cannot refrain from laughter even in holy matters.	Gods are fond of ridicule: it seems that they cannot refrain from laughter even in holy matters.	false	3676.23	3684.33	17.366255
422_122949_000040_000000	295.	two hundred ninety five.	false	3684.33	3685.51	22.714487
422_122949_000040_000001	The genius of the heart, as that great mysterious one possesses it, the tempter-god and born rat-catcher of consciences, whose voice can descend into the nether-world of every soul, who neither speaks a word nor casts a glance in which there may not be some motive or touch of allurement, to whose perfection it pertains that he knows how to appear,--not as he is, but in a guise which acts as an ADDITIONAL constraint on his followers to press ever closer to him, to follow him more cordially and thoroughly;--the genius of the heart, which imposes silence and attention on everything loud and self-conceited, which smoothes rough souls and makes them taste a new longing--to lie placid as a mirror, that the deep heavens may be reflected in them;--the genius of the heart, which teaches the clumsy and too hasty hand to hesitate, and to grasp more delicately; which scents the hidden and forgotten treasure, the drop of goodness and sweet spirituality under thick dark ice, and is a divining-rod for every grain of gold, long buried and imprisoned in mud and sand; the genius of the heart, from contact with which every one goes away richer; not favoured or surprised, not as though gratified and oppressed by the good things of others; but richer in himself, newer than before, broken up, blown upon, and sounded by a thawing wind; more uncertain, perhaps, more delicate, more fragile, more bruised, but full of hopes which as yet lack names, full of a new will and current, full of a new ill-will and counter-current... but what am I doing, my friends?	The genius of the heart, as that great mysterious one possesses it, the tempter god and born rat catcher of consciences, whose voice can descend into the nether world of every soul, who neither speaks a word nor casts a glance in which there may not be some motive or touch of allurement, to whose perfection it pertains that he knows how to appear,--not as he is, but in a guise which acts as an ADDITIONAL constraint on his followers to press ever closer to him, to follow him more cordially and thoroughly;--the genius of the heart, which imposes silence and attention on everything loud and self conceited, which smoothes rough souls and makes them taste a new longing-to lie placid as a mirror, that the deep heavens may be reflected in them;--the genius of the heart, which teaches the clumsy and too hasty hand to hesitate, and to grasp more delicately; which scents the hidden and forgotten treasure, the drop of goodness and sweet spirituality under thick dark ice, and is a divining rod for every grain of gold, long buried and imprisoned in mud and sand; the genius of the heart, from contact with which every one goes away richer; not favoured or surprised, not as though gratified and oppressed by the good things of others; but richer in himself, newer than before, broken up, blown upon, and sounded by a thawing wind; more uncertain, perhaps, more delicate, more fragile, more bruised, but full of hopes which as yet lack names, full of a new will and current, full of a new ill will and counter current... but what am I doing, my friends?	false	3685.51	3794.67	19.348953
422_122949_000040_000002	Of whom am I talking to you?	Of whom am I talking to you?	false	3794.67	3795.51	9
422_122949_000040_000003	Have I forgotten myself so far that I have not even told you his name?	Have I forgotten myself so far that I have not even told you his name?	false	3795.51	3798.36	18
422_122949_000040_000004	Unless it be that you have already divined of your own accord who this questionable God and spirit is, that wishes to be PRAISED in such a manner?	Unless it be that you have already divined of your own accord who this questionable God and spirit is, that wishes to be PRAISED in such a manner?	false	3798.36	3805.8	20.092709
422_122949_000040_000005	For, as it happens to every one who from childhood onward has always been on his legs, and in foreign lands, I have also encountered on my path many strange and dangerous spirits; above all, however, and again and again, the one of whom I have just spoken: in fact, no less a personage than the God DIONYSUS, the great equivocator and tempter, to whom, as you know, I once offered in all secrecy and reverence my first-fruits--the last, as it seems to me, who has offered a SACRIFICE to him, for I have found no one who could understand what I was then doing.	For, as it happens to every one who from childhood onward has always been on his legs, and in foreign lands, I have also encountered on my path many strange and dangerous spirits; above all, however, and again and again, the one of whom I have just spoken: in fact, no less a personage than the God DIONYSUS, the great equivocator and tempter, to whom, as you know, I once offered in all secrecy and reverence my first fruits-the last, as it seems to me, who has offered a SACRIFICE to him, for I have found no one who could understand what I was then doing.	false	3805.8	3840.68	19.564516
422_122949_000040_000006	In the meantime, however, I have learned much, far too much, about the philosophy of this God, and, as I said, from mouth to mouth--I, the last disciple and initiate of the God Dionysus: and perhaps I might at last begin to give you, my friends, as far as I am allowed, a little taste of this philosophy?	In the meantime, however, I have learned much, far too much, about the philosophy of this God, and, as I said, from mouth to mouth-I, the last disciple and initiate of the God Dionysus: and perhaps I might at last begin to give you, my friends, as far as I am allowed, a little taste of this philosophy?	false	3840.68	3857.4	20.607986
422_122949_000040_000007	In a hushed voice, as is but seemly: for it has to do with much that is secret, new, strange, wonderful, and uncanny.	In a hushed voice, as is but seemly: for it has to do with much that is secret, new, strange, wonderful, and uncanny.	false	3857.4	3864.39	20.036024
422_122949_000040_000008	The very fact that Dionysus is a philosopher, and that therefore Gods also philosophize, seems to me a novelty which is not unensnaring, and might perhaps arouse suspicion precisely among philosophers;--among you, my friends, there is less to be said against it, except that it comes too late and not at the right time; for, as it has been disclosed to me, you are loth nowadays to believe in God and gods.	The very fact that Dionysus is a philosopher, and that therefore Gods also philosophize, seems to me a novelty which is not unensnaring, and might perhaps arouse suspicion precisely among philosophers;--among you, my friends, there is less to be said against it, except that it comes too late and not at the right time; for, as it has been disclosed to me, you are loth nowadays to believe in God and gods.	false	3864.39	3889.11	19.015182
422_122949_000040_000009	It may happen, too, that in the frankness of my story I must go further than is agreeable to the strict usages of your ears?	It may happen, too, that in the frankness of my story I must go further than is agreeable to the strict usages of your ears?	false	3889.11	3899.73	21.578522
422_122949_000040_000010	Certainly the God in question went further, very much further, in such dialogues, and was always many paces ahead of me...	Certainly the God in question went further, very much further, in such dialogues, and was always many paces ahead of me...	false	3899.73	3908.55	18.995686
422_122949_000040_000011	Indeed, if it were allowed, I should have to give him, according to human usage, fine ceremonious tides of lustre and merit, I should have to extol his courage as investigator and discoverer, his fearless honesty, truthfulness, and love of wisdom.	Indeed, if it were allowed, I should have to give him, according to human usage, fine ceremonious tides of lustre and merit, I should have to extol his courage as investigator and discoverer, his fearless honesty, truthfulness, and love of wisdom.	false	3908.55	3922.5	19.055597
422_122949_000040_000012	But such a God does not know what to do with all that respectable trumpery and pomp.	But such a God does not know what to do with all that respectable trumpery and pomp.	false	3922.5	3925.11	12
422_122949_000040_000013	"Keep that," he would say, "for thyself and those like thee, and whoever else require it!	"Keep that," he would say, "for thyself and those like thee, and whoever else require it!	false	3925.11	3932.04	18.30635
422_122949_000040_000014	I--have no reason to cover my nakedness!" One suspects that this kind of divinity and philosopher perhaps lacks shame?--He once said: "Under certain circumstances I love mankind"--and referred thereby to Ariadne, who was present; "in my opinion man is an agreeable, brave, inventive animal, that has not his equal upon earth, he makes his way even through all labyrinths.	I-have no reason to cover my nakedness!" One suspects that this kind of divinity and philosopher perhaps lacks shame?--He once said: "Under certain circumstances I love mankind"--and referred thereby to Ariadne, who was present; "in my opinion man is an agreeable, brave, inventive animal, that has not his equal upon earth, he makes his way even through all labyrinths.	false	3932.04	3947.58	16
422_122949_000040_000015	I like man, and often think how I can still further advance him, and make him stronger, more evil, and more profound."--"Stronger, more evil, and more profound?" I asked in horror. "Yes," he said again, "stronger, more evil, and more profound; also more beautiful"--and thereby the tempter-god smiled with his halcyon smile, as though he had just paid some charming compliment.	I like man, and often think how I can still further advance him, and make him stronger, more evil, and more profound."--"Stronger, more evil, and more profound?" I asked in horror. "Yes," he said again, "stronger, more evil, and more profound; also more beautiful"--and thereby the tempter god smiled with his halcyon smile, as though he had just paid some charming compliment.	false	3947.58	3969.3	17
422_122949_000040_000016	One here sees at once that it is not only shame that this divinity lacks;--and in general there are good grounds for supposing that in some things the Gods could all of them come to us men for instruction.	One here sees at once that it is not only shame that this divinity lacks;--and in general there are good grounds for supposing that in some things the Gods could all of them come to us men for instruction.	false	3969.3	3987.39	19.38215
422_122949_000040_000017	We men are--more human.--	We men are-more human.--	false	3987.39	3989.79	19.1081
